	(1)	(2)	(3)	(4)	(5)
	modelo_6	modelo_7	modelo_8	modelo_9	modelo_10
VARIABLES	VIS10MIL	VIS10MIL	VIS10MIL	VIS10MIL	VIS10MIL
					
proporcionareaexpansion	1,305**	1,500***	1,532**	1,459**	1,479**
	(530.6)	(489.5)	(551.8)	(634.5)	(660.2)
IPM_urb		-30.47	-32.43	-32.63	-29.57
		(18.36)	(21.01)	(22.13)	(25.32)
Defcuant2005		5,281**	4,617*	4,503*	4,550
		(2,146)	(2,366)	(2,485)	(2,577)
HHI2013			0.0358	0.0267	0.0264
			(0.0436)	(0.0467)	(0.0483)
Valorsuelo_e			-0.0163	0.00384	0.0124
			(0.0480)	(0.0596)	(0.0687)
ULT_POT				-19.36	-19.16
				(32.42)	(33.55)
MODEXCEPCIONAL				333.3	303.8
				(430.3)	(457.2)
Alineadoalc_con					131.9
					(465.5)
2.Aglo	1,194	1,865	1,921	1,719	1,631
	(1,311)	(1,183)	(1,261)	(1,341)	(1,422)
3.Aglo	813.1	1,696	1,995	1,963	1,974
	(1,306)	(1,177)	(1,296)	(1,406)	(1,455)
4.Aglo	792.3	1,548*	1,837*	1,590	1,553
	(992.3)	(888.6)	(976.1)	(1,051)	(1,096)
5.Aglo	1,351	906.7	1,180	893.7	836.2
	(950.4)	(927.1)	(1,015)	(1,103)	(1,159)
6.Aglo	732.1	824.9	1,082	849.6	800.9
	(1,017)	(910.5)	(993.9)	(1,079)	(1,129)
7.Aglo	834.6	2,187*	2,593*	2,135	1,929
	(1,309)	(1,208)	(1,330)	(1,493)	(1,708)
8.Aglo	1,650	1,841*	1,955*	1,480	1,474
	(1,025)	(935.6)	(999.6)	(1,184)	(1,226)
9.Aglo	1,034	1,910*	2,233*	1,673	1,598
	(1,129)	(1,000)	(1,128)	(1,330)	(1,401)
10.Aglo	404.5	681.8	1,034	582.1	613.3
	(1,269)	(1,084)	(1,209)	(1,387)	(1,440)
11.Aglo	964.9	1,989*	2,006*	1,987*	1,894
	(1,128)	(1,014)	(1,049)	(1,117)	(1,201)
12.Aglo	782.0	1,051	1,335	1,055	1,110
	(1,290)	(1,208)	(1,344)	(1,434)	(1,497)
13.Aglo	1,051	1,146	1,516	1,417	1,308
	(1,309)	(1,139)	(1,281)	(1,370)	(1,469)
14.Aglo	1,317	1,463	1,435	1,318	1,364
	(1,315)	(1,143)	(1,204)	(1,277)	(1,332)
15.Aglo	575.3	878.4	1,180	726.9	768.0
	(1,281)	(1,180)	(1,304)	(1,456)	(1,513)
16.Aglo	1,122	1,540	1,513	1,403	1,293
	(1,291)	(1,157)	(1,201)	(1,271)	(1,371)
17.Aglo	1,077	1,603	1,617	1,536	1,449
	(1,316)	(1,215)	(1,279)	(1,379)	(1,460)
18.Aglo	864.8	1,313	1,482	1,132	1,115
	(1,039)	(1,044)	(1,124)	(1,243)	(1,287)
19.Aglo	907.5	2,039	2,437*	2,393	2,332
	(1,306)	(1,179)	(1,301)	(1,379)	(1,443)
20.Aglo	1,122	1,597	1,527	1,363	1,282
	(1,314)	(1,173)	(1,240)	(1,316)	(1,391)
21.Aglo	1,018	1,556	1,516	1,464	1,357
	(1,308)	(1,146)	(1,197)	(1,278)	(1,374)
22.Aglo	1,060	1,609	1,725	1,462	1,494
	(1,124)	(1,058)	(1,123)	(1,205)	(1,251)
23.Aglo	824.8	1,120	1,449	1,081	1,109
	(1,290)	(1,118)	(1,254)	(1,370)	(1,421)
24.Aglo	485.8	767.2	898.7	456.3	482.7
	(1,267)	(1,312)	(1,372)	(1,524)	(1,579)
25.Aglo	641.2	1,291	1,552	1,507	1,475
	(1,276)	(1,109)	(1,185)	(1,251)	(1,299)
26.Aglo	899.5	1,740	2,074	1,973	1,835
	(1,310)	(1,146)	(1,274)	(1,349)	(1,478)
27.Aglo	1,049	1,350	1,660	1,483	1,398
	(1,316)	(1,210)	(1,350)	(1,446)	(1,526)
28.Aglo	701.3	1,225	1,491	1,377	1,421
	(1,284)	(1,163)	(1,297)	(1,377)	(1,433)
29.Aglo	935.7	1,416	1,441	903.2	929.7
	(1,308)	(1,187)	(1,230)	(1,460)	(1,513)
30.Aglo	1,137	2,087*	2,084	1,986	1,968
	(1,313)	(1,162)	(1,203)	(1,275)	(1,320)
31.Aglo	205.1	579.3	786.3	704.4	570.4
	(1,256)	(1,108)	(1,173)	(1,225)	(1,352)
Constant	-896.0	-893.1	-965.2	38,096	37,498
	(972.2)	(1,253)	(1,623)	(64,958)	(67,236)
					
Observations	52	52	52	52	52
R-squared	0.486	0.666	0.682	0.699	0.701
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
